listing_id;available;count
1783438;t;75
1786144;t;365
1790497;f;109
1790497;t;256
1792271;f;359
1792271;t;6
1793971;f;175
1793971;t;190
1795894;f;365
1796212;f;54
1796212;t;311
1796517;f;365
1797364;f;42
1797364;t;323
1798944;f;14
1798944;t;351
1798945;f;365
1801665;f;365
1802029;f;365
1805022;f;2
1805022;t;363
1806629;f;365
1808774;f;275
1808774;t;90
1809158;f;3
1809158;t;362
1812527;f;365
1812581;f;117
1812581;t;248
1812912;f;365
1814121;f;26
1814121;t;339
1816161;t;365
1818037;f;365
1819548;f;365
1828391;f;365
1829726;f;365
1830848;f;365
1835186;f;365
1835978;f;365
1838751;f;360
1838751;t;5
1842012;f;269
1842012;t;96
1845443;f;365
1848477;f;359
1848477;t;6
1849795;f;365
1850067;f;365
1851777;f;365
1852798;f;300
1852798;t;65
1859255;f;44
1859255;t;321
1860602;f;365
1863996;f;365
1866565;f;365
1874209;f;365
1878513;f;4
1878513;t;361
1886198;f;118
1886198;t;247
1889863;f;365
1892532;f;365
1894386;f;275
1894386;t;90
1894944;t;365
1896850;f;365
1901845;f;52
1901845;t;313
1901877;f;22
1901877;t;343
1904291;f;151
1904291;t;214
1911182;f;201
1911182;t;164
1912220;f;115
1912220;t;250
1912704;f;32
1912704;t;333
1913383;f;206
1913383;t;159
1916430;f;365
1921050;f;73
1921050;t;292
1922229;f;365
1922767;f;344
1922767;t;21
1924194;f;365
1924485;f;365
1925716;f;365
1926792;f;320
1926792;t;45
1927634;f;365
1928474;f;193
1928474;t;172
1929777;f;365
1933728;f;365
1934989;f;365
1937458;f;327
1937458;t;38
1937894;f;364
1937894;t;1
1938510;f;175
1938510;t;190
1943465;f;365
1948254;f;365
1949429;f;365
1952614;f;365
1954182;f;297
1954182;t;68
1954308;f;113
1954308;t;252
1955400;f;365
1957337;f;242
1957337;t;123
1958482;f;365
1959340;f;155
1959340;t;210
1964479;f;192
1964479;t;173
1967979;f;116
1967979;t;249
1968979;f;365
1971204;f;365
1973390;f;365
1977828;f;365
1983071;f;365
1983378;f;365
1986095;f;365
1986895;f;365
1992875;f;365
1994336;f;334
1994336;t;31
1996547;f;365
2003492;t;365
2005996;f;69
2005996;t;296
2009525;f;365
2011601;f;365
2012931;f;365
2013769;f;365
2015074;f;324
2015074;t;41
2016155;f;365
2018017;f;365
2023961;f;171
2023961;t;194
2024223;f;365
2026455;f;365
2026857;f;365
2037191;f;4
2037191;t;361
2044583;f;365
2047730;f;365
2058590;f;365
2064402;f;163
2064402;t;202
2065321;f;365
2066501;f;365
2068307;f;365
2070211;f;365
2071122;f;336
2071122;t;29
2073456;f;365
2073678;f;365
2080040;f;230
2080040;t;135
2080427;f;363
2080427;t;2
2082742;f;365
2084758;f;365
2088011;f;365
2088473;f;1
2088473;t;364
2090727;f;365
2091152;f;9
2091152;t;356
2091917;f;365
2092472;f;329
2092472;t;36
2097548;f;76
2097548;t;289
2102217;f;365
2107244;f;365
2109761;f;295
2109761;t;70
2116479;f;355
2116479;t;10
2117111;f;4
2117111;t;361
2117442;f;365
2128742;f;365
2130095;f;365
2130337;f;365
2133306;f;365
2134261;f;365
2137009;f;365
2141536;f;365
2144304;f;365
2144308;f;365
2146724;f;116
2146724;t;249
2148417;f;67
2148417;t;298
2148688;f;365
2159904;f;300
2159904;t;65
2166650;t;365
2166657;t;365
2166978;f;365
2174398;f;365
2174515;f;365
2175600;f;116
2175600;t;249
2176204;f;365
2180729;f;365
2190558;f;365
2190893;f;365
2191590;f;365
2191598;f;365
2191745;f;365
2193342;f;235
2193342;t;130
2199617;f;365
2205757;f;365
2206842;f;365
2207534;f;365
2207977;f;365
2211896;f;172
2211896;t;193
2213683;f;365
2222064;f;365
2224538;f;266
2224538;t;99
2224903;f;93
2224903;t;272
2233122;f;365
2234543;f;3
2234543;t;362
2234721;f;365
2235666;f;31
2235666;t;334
2235708;f;355
2235708;t;10
2247902;f;365
2251421;f;365
2255109;f;346
2255109;t;19
2259650;f;365
2260822;f;365
